Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
muladi;Muladi;Muladi;Muladi;x;
pan_dutch;Dutch;x;
belgian;Belgian;x;
pan_swedish;Swedish;x;
pan_norwegian;Norwegian;x;
pan_finnish:Finnish;x;
pan_portuguese;Portuguese;x;
pan_ukranian;Ukranian;x;
conquest_tiny;Conquest Tiny;x;
conquest_tiny_desc;Conquer a little country;x;
conquest_tiny_setup;Conquer a sparesly populated country;x;
conquest_tiny_short;Little Conquest;x;
conquest_medium;Conquest Medium;x;
conquest_medium_desc;Conquer a medium country;x;
conquest_medium_setup;Conquer a standard populated country;x;
conquest_medium_short;Medium Conquest;x;
democracy;Democratic Republic;x;
hms_government;Constitutional Monarchy;x;
prussian_constitutionalism;Semi-Constitutional Monarchy;x;
presidential_dictatorship;Authoritarian Republic;x;
bourgeois_dictatorship;Libertarian Anarchy;x;
