Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
AFR_conservative;Tradicional Faction;Faction conservateur;Konservative Fraktion;x;
AFR_liberal;Reform Faction;Faction libéral;Liberale Fraktion;x;
AFR_reactionary;Religious Faction;Faction traditionnelle;Traditionelle Fraktion;x;
AFR_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;x;
AFR_socialist;Socialist Faction;Faction socialiste;Die sozialistische Fraktion;x;
AFR_communist;Worker's Faction;Faction communiste;Die kommunistische Fraktion;x;
AFR_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;x;
BAH_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;
BAH_conservative;Partido Conservador;Partido Conservador;Partido Conservador;x;
BAH_reactionary;Partido Caramuru;Partido Caramuru;Partido Caramuru;x;
BAH_conservative_2;Partido Paulista;Partido Paulista;Partido Paulista;x;
BAH_liberal_2;Partido Carioca;Partido Carioca;Partido Carioca;x;
BAH_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;x;
BAH_socialist;Partido Socialist;Partido socialiste;Partido Socialist;x;
BAH_communist;Partido Communist;Partido communiste;Partido Communist;x;
BAH_fascist;Partido Fascista;Partido fasciste;Partido Fascist;x;
BAN_conservative;The Conservatives;Faction royale;Königsfraktion;x;
BAN_liberal;The Liberals;Faction libérale;Die liberale Fraktion;x;
BAN_reactionary;The Royalist Faction;Faction nationaliste;Die nationalistische Fraktion;x;
BAN_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;x;
BAN_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;x;
BAN_communist;The Communists;Faction communiste;Die kommunistische Fraktion;x;
BAN_fascist;The Nationalist Faction;Faction fasciste;Die faschistische Fraktion;x;
BHR_reactionary;Hizb al-Hashemiyya al-Urduni;x;
BHR_conservative;Hizb al-Wasat al-Islami;x;
BHR_liberal;Yasari-d-al-Dimaqrati al-Urduni;x;
BHR_anarcho_liberal;Al Anarkiliberali;x;
BHR_socialist;Hizb al-Baath al-Ishtiraki al-Urduni;x;
BHR_communist;Al-Hizb al-Shuyui al-Urduni;x;
BHR_fascist;Hizb al-Mustaqbal;x;
BRT_reactionary;Strollad Broadelour;x;
BRT_communist;Strollad Komunist;x;
BRT_socialist;Unvaniezh Demokratel;x;
BRT_liberal;Strollad Liberal;x;
BRT_anarcho_liberal;Strollad Radical;x;
BRT_conservative;Strollad Mirour;x;
BSQ_socialist;Abertzale Ekintza;x;
BSQ_conservative;Alderdi Jeltzalea;x;
BSQ_liberal;Alderdi Abertzale Errepublikanoa;x;
BSQ_reactionary;Alderdi Monarkiko;x;
BSQ_communist;Mugimendu Komunista;x;
BSQ_fascist;Euskadi Ta Askatasuna;x;
BSQ_anarcho_liberal;Alderdi Anarkiazale;x;
BSQ_fascist_dictatorship;Euskadi;x;
DON_conservative;The Conservatives;Faction royale;Königsfraktion;x;
DON_liberal;The Liberals;Faction libérale;Die liberale Fraktion;x;
DON_reactionary;The Hetmanate Faction;Faction nationaliste;Die nationalistische Fraktion;x;
DON_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;x;
DON_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;x;
DON_communist;The Communists;Faction communiste;Die kommunistische Fraktion;x;
DON_fascist;The Nationalist Faction;Faction fasciste;Die faschistische Fraktion;x;
GEO_conservative;Demokratiuli Modzraoba;x;
GEO_liberal;Sakartvelos Respublikuri;x;
GEO_reactionary;Natsionaluri Modzraoba;x;
GEO_anarcho_liberal;Sakartvelos Gza;x;
GEO_socialist;Sakartvelos Leiboristuli;x;
GEO_communist;Sakartvelos Komunisturi;x;
GEO_fascist;Erovnuli Sotsialisturi;x;
GUY_conservative;Dutch Faction;x;
GUY_liberal;French Faction;x;
GUY_socialist;Ruimveldt Party;x;
GUY_communist;British Guiana Labour Union;x;
GUY_reactionary;British Faction;x;
GUY_anarcho_liberal;American Faction;x;
GUY_fascist;Unity Party;x;
KDS_conservative;Meclis-i Mîran;x;
KDS_conservative_2;Partiya Kurdistanê;x;
KDS_liberal;Azadi;x;
KDS_liberal_2;Hêvî;x;
KDS_liberal_3;Yeketî Nistîman;x;
KDS_reactionary;Meclis-i Mesayih;x;
KDS_reactionary_2;Bizutnawai Islami;x;
KDS_anarcho_liberal;Terakkipeweran;x;
KDS_socialist;Partiya Karkerên;x;
KDS_socialist_2;Partiya Zahmatkesan;x;
KDS_fascist;Jiyanewe;x;
KDS_communist;Komala;x;
KML_conservative;Kumul Shah Faction;x;
KML_liberal;Kumul Reformers;x;
KML_reactionary;Kumul Fundamentalists;x;
KML_anarcho_liberal;Kumul Libertarians;x;
KML_socialist;Kumul Socialists;x;
KML_communist;Kumul People's Party;x;
KML_fascist;Kumul National Front;x;
LBN_liberal;Harakat al-Tajaddod al-Dimoqrati;x;
LBN_conservative;At-Tayyar al-Watani al-Horr;x;
LBN_socialist;Hizb al-Taqadummi al-Ishtiraki;x;
LBN_reactionary;Harakat al-Qawmiyyin al-Arab;x;
LBN_anarcho_liberal;Hizb al-Wataniyyin al-Ahrar;x;
LBN_communist;Al-Hizb al-Shooyoo'i al-Lubnani;x;
MAJ_conservative;Sheikal Faction;Faction Sheikal;Scheichsfraktion;;Facción de jeques;x;
MAJ_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;x;
MAJ_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;x;
MAJ_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;x;
MAJ_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;x;
MAJ_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;x;
MAJ_fascist;The Islamic Faction;La faction islamique;Die islamische Fraktion;;La facción islámica;x;
NRM_fascist;PNB;x;
NRM_reactionary;Strollad Broadelour;x;
NRM_communist;Strollad Komunist;x;
NRM_socialist;Unvaniezh Demokratel;x;
NRM_liberal;Strollad Liberal;x;
NRM_anarcho_liberal;Strollad Radical;x;
NRM_conservative;Strollad Mirour;x;
PLS_reactionary;Al Raj'i;x;
PLS_conservative;Al Muhafidh;x;
PLS_liberal;Al Mutaharir;x;
PLS_anarcho_liberal;Al Anarkiliberali;x;
PLS_socialist;Al Ishtiraki;x;
PLS_communist;Al Shiu'i;x;
PLS_fascist;Al Fashi;x;
PNK_conservative;Pontianaki Faction;x;
PNK_liberal;Sambas Faction;x;
PNK_reactionary;Mempawah Faction;x;
SHK_conservative;Shilluk Podh Faction;x;
SHK_liberal;Reformist Faction;x;
SHK_reactionary;Royal Holiness Faction;x;
SHK_anarcho_liberal;Shilluk Libertarian Front;x;
SHK_socialist;Shilluk Socialist Front;x;
SHK_communist;Shilluk People's Front;x;
SHK_fascist;Shilluk National Front;x;
SWK_conservative;Rajah Faction;Faction royale;Königsfraktion;;Facción real;x;
SWK_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;x;
SWK_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;x;
SWK_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;x;
SWK_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;x;
SWK_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;x;
SWK_fascist;The Borneo Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;x;
SYR_liberal;Hizb al-Islah al-Suriy;x;
SYR_conservative;Jam’iyat al-Arabiya al-Fatat;x;
SYR_socialist;Haraka al-Ishtirakiyyun al-Arab;x;
SYR_reactionary;Haraka al-Ahd al-Watani;x;
SYR_anarcho_liberal;Hizb al-Wataniyyin al-Ahrar;x;
SYR_communist;Al-hizb ash-Shuyu'i as-Suri;x;
SYR_fascist;Al-Hizb Al-Suri Al-Qawmi Al-'Ijtima'i;x;
SZC_reactionary;Beiyang Faction;Faction Rongting;Rongting-Fraktion;x;
SZC_socialist;Socialist Party;Parti socialiste;Sozialistische Partei;x;
SZC_communist;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei China;x;
SZC_liberal;Liberal Party;Parti libéral;Liberale Partei;x;
SZC_conservative;Kuomintang Faction;Faction Kuomintang;Guomintang-Fraktion;x;
SZC_fascist;Fascist Party;Parti fasciste;Faschistische Partei;x;
SZC_anarcho_liberal;Freedom Party;Parti de la liberté;Freiheitspartei;x;
TIG_conservative;Faction of the Ras of Tigray;Faction de l'Ras du Tigré;Fraktion der Ras von Tigray;x;
TIG_liberal;Reform Faction;Faction de réforme;Verbesserung Fraktion;x;
TIG_reactionary;Traditionalist faction;Faction traditionaliste;Traditionalist Fraktion;x;
TIG_anarcho_liberal;Freedom Faction;Faction liberté;Freiheit Fraktion;x;
TIG_socialist;Tigrayan People's Liberation Front;Front de libération du Tigrayienne populaire;Tigrayan Volksbefreiungsfront;x;
TIG_communist;Tigrayan Communist Party;Tigrayienne Parti communiste;Tigrayan Kommunistischen Partei;x;
TIG_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;x;
TKM_conservative;Royal Faction;Faction royale;Königsfraktion;x;
TKM_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;x;
TKM_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;x;
TKM_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;x;
TKM_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;x;
TKM_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;x;
TKM_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;x;
TRZ_conservative;Emir's Faction;x;
TRZ_liberal;Reform Faction;x;
TRZ_reactionary;Islamic faction;x;
TRZ_conservative_2;Progressive Union;x;
TRZ_liberal_2;Agreement Party;x;
TRZ_reactionary_2;People's Party;x;
TRZ_anarcho_liberal;Radical Faction;x;
TRZ_socialist;Association of the Young Mauritanians;x;
TRZ_communist;Mauritanian Entente;x;
TRZ_fascist;Nahda;x;
TTB_conservative;Conservative Party;Conservative Party;Conservative Party;x;
TTB_liberal;Citizens' Alliance;Citizens' Alliance;Citizens' Alliance;x;
TTB_reactionary;National Party;National Party;National Party;x;
TTB_socialist;People's Partnership;People's Partnership;People's Partnership;x;
TTB_communist;Worker's Party;Worker's Party;Worker's Party;x;
TTB_anarcho_liberal;Butler Party;Butler Party;Butler Party;x;
TTB_fascist;Fascist Party;Fascist Party;Fascist Party;x;
